Q,a95,Plate,Plate_code,Lat,Lon,CLat,CLon,RLat,RLon,Eplat,Eplong,Epang,Age
5,4.8,north_america,101,-86.3,5.7,,,,,,,,0.5
5,9.1,north_america,101,-86.4,8.4,,,-86.4,9.2,79.2,23,0.2,0.8
5,7.1,north_america,101,-85.3,265.9,,,-85.3,-94.1,79.9,22.7,0.3,1
5,8.7,north_america,101,-88.4,225.5,,,-88.4,-135.7,79.9,22.7,0.3,1
5,4.3,north_america,101,-88.9,285,,,-88.9,-75.1,79.9,22.7,0.3,1
3,4.9,north_america,101,-77.9,303.7,-80,3.5,-80,4.2,80.8,22.8,0.4,1.5
3,7,north_america,101,-85.7,122.7,-81.2,73.9,-81.1,74.5,80.8,22.8,0.4,1.5
5,5.7,north_america,101,-84.5,241,,,-84.5,-119.1,80.8,22.8,0.4,1.5
5,6.2,north_america,101,-89.5,214.8,,,-89.5,-157.9,80.8,22.9,0.8,3
5,4.1,north_america,101,-84.6,332.3,,,-84.8,-25.6,80.9,22.8,1,4
5,6.7,north_america,101,-87.9,275.9,,,-88,-84.4,80.9,22.8,1,4
5,5,north_america,101,-85.5,197.4,,,-85.5,-163.9,80.9,22.8,1.3,5
5,5,north_america,101,-85.3,262.1,,,-85.5,-97.9,80.9,22.8,1.8,7
5,6.9,north_america,101,-85.9,357.7,,,-86,3.9,80.9,22.8,2,8
5,7.8,north_america,101,-82.9,309.1,,,-83.3,-47.3,80.9,22.9,2.6,10
3,12.9,north_america,101,-81.1,225.3,-83.1,93.2,-82.4,98.8,80.9,23.2,4.2,15.5
5,3.7,north_america,101,-82.9,346.2,,,-83.5,-1.3,80.3,25.4,5.8,21
5,9.8,north_america,101,-82.7,301.7,,,-83.7,-51,80.2,26,6,21.7
4,6.7,north_america,101,-87.1,189.5,,,-86.7,177.4,80,26.6,6.2,22.5
3,8.4,north_america,101,-76.4,30.3,,,-76.2,41,79.9,26.9,6.3,23
4,5.2,north_america,101,-80.9,331.2,,,-81.8,-17.8,79.8,27.3,6.4,23.5
4,6.8,north_america,101,-79.7,342.8,,,-80.5,-4.3,79.3,27.5,7.1,26
4,5.4,north_america,101,-80.2,315.4,,,-81.4,-32.9,78.8,22.7,7.5,27
3,5,north_america,101,-82.8,316.2,,,-84.2,-24,77.4,12.5,8.6,30
4,4.4,north_america,101,-81.9,323.6,,,-83.1,-16.9,77.4,12.5,8.6,30
6,6.2,north_america,101,-80.6,22.1,,,-79.5,43.5,76,6.1,9.7,33
4,4.3,north_america,101,-79.8,5.9,,,-78.9,31.9,74.9,1.4,11.4,37
5,7,north_america,101,-78.2,297.5,,,-80.7,-40.3,74.5,0.1,12,38.5
3,2.4,north_america,101,-85.2,296.6,,,-87.2,-9.1,74.5,-1.1,12.6,40
6,3,north_america,101,-79.2,326.4,,,-80.1,-1.7,74.4,-2.5,13.4,42
5,7.7,north_america,101,-83.7,323.7,-76.7,50.4,-73.2,70.3,74.3,-3.7,14.2,44
5,8,north_america,101,-82.7,333.6,,,-82.6,19.8,74.2,-4.9,15,46
4,9.6,north_america,101,-79.3,324.3,,,-80.2,0.8,74.2,-4.9,15,46
4,10.1,north_america,101,-85.2,62,,,-81.2,84,74.5,-4.8,15.3,47
6,5.6,north_america,101,-72,343.4,,,-71.9,10.7,74.5,-4.8,15.3,47
5,4,north_america,101,-77.1,325.8,,,-78.1,-0.9,75.9,-3.5,16.2,50
6,6.2,north_america,101,-83.1,326.3,,,-83.5,15.9,75.9,-3.5,16.2,50
6,4.9,north_america,101,-77.6,309.1,-78.3,22.7,-75.8,51.7,76.5,-2.8,16.5,51
6,2.6,north_america,101,-82.7,347.2,,,-81.8,31.2,76.5,-2.8,16.5,51
6,4.4,north_america,101,-81.4,347.7,-73.9,48.8,-71.3,71.7,79.8,4.1,17.6,55
5,14,north_america,101,-68.1,9.4,,,-67.3,34.2,80.9,6.2,18.2,57
6,3,north_america,101,-75.9,326.4,-74.9,24.7,-73.4,52,81.8,4.8,19.4,61
4,1.1,north_america,101,-77.1,21.3,,,-75.6,50.6,82.2,4,20,63
4,6.6,north_america,101,-72,5.3,-68,38.1,-66.1,62.3,82.2,4,20,63
6,3.7,north_america,101,-81.9,350.6,,,-81.7,29.2,82.2,4,20,63
